epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7621604868998895,0.9400766134262085,0.5190731399747793,0.4322580645161291,0
1,0.7000334301056006,0.7288556814193725,0.548688895482531,0.5304985337243402,0
2,0.6860737067002517,0.7365878462791443,0.5873915139826422,0.5873900293255132,0
3,0.6969179373521072,0.6919240355491638,0.571934574586455,0.5791788856304986,0
4,0.684599077854401,0.6889237880706787,0.5847303612491654,0.6058651026392962,0
5,0.6845782299836477,0.6734752297401428,0.5796862250574883,0.6093841642228739,0
6,0.685905838624025,0.6926473617553711,0.5817724946220606,0.552492668621701,0
7,0.676284032754409,0.6800158381462097,0.5977208664045693,0.5932551319648094,0
8,0.6765464995151911,0.6719173073768616,0.5985275573028708,0.6536656891495602,0
9,0.6690108967133057,0.7001328706741333,0.6257232401157183,0.5909090909090909,0
10,0.6746469483925746,0.6903860330581665,0.6121393071730584,0.5941348973607039,0
11,0.6574991169648293,0.6998438835144043,0.6511757288035012,0.549266862170088,0
12,0.6565728390063995,0.6881574630737305,0.6552091832950079,0.5818181818181818,0
13,0.6330341459848942,0.7180023193359375,0.6973703731177212,0.6008797653958944,0
