epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7669208607612512,0.7544562339782714,0.5000742115027829,0.47950819672131145,1
1,0.6927062976054656,0.7023653745651245,0.5650834879406308,0.5690866510538642,1
2,0.6836728197641861,0.7084830284118653,0.5857328385899814,0.5477166276346606,1
3,0.6866664259861677,0.6925091505050659,0.5716883116883117,0.5374707259953162,1
4,0.6887348531148373,0.6968430399894714,0.5657142857142857,0.549473067915691,1
5,0.6963576326767603,0.7489516854286193,0.5563358070500928,0.5357142857142857,1
6,0.6828707135640658,0.6958992719650269,0.5872820037105752,0.5327868852459017,1
