epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7583113924050943,0.6955398797988892,0.524608708552778,0.5879765395894428,0
1,0.695853475576792,0.8431619167327881,0.5464728135894963,0.5428152492668622,0
2,0.7133990480349615,0.7344889521598816,0.5246643424078332,0.6208211143695015,0
3,0.6997567025514749,0.8272830963134765,0.5337048438543136,0.48504398826979467,0
4,0.7129444457017459,0.7821999311447143,0.4908018692975299,0.544574780058651,0
5,0.6994409362475077,0.6714315533638,0.5324159928788665,0.6293255131964809,0
6,0.6923793730063316,0.6805298924446106,0.5385913507900008,0.5909090909090909,0
7,0.6824694978885162,0.6748202204704284,0.581299606854091,0.6126099706744869,0
8,0.6916094758571723,0.6869284749031067,0.5525925376455753,0.5991202346041055,0
9,0.6728261334773822,0.7059778928756714,0.6032842519100957,0.5900293255131965,0
10,0.6888803060238178,0.6820550680160522,0.571851123803872,0.6079178885630498,0
