epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7444801685901788,0.7198694348335266,0.5367162249515192,0.5257824143070045,2
1,0.7011667016224984,0.7051853537559509,0.5374642164558131,0.5257824143070046,2
2,0.6841508448123932,0.6986369490623474,0.5819743281928156,0.5222056631892698,2
3,0.6860010677423233,0.702571177482605,0.5767660910518053,0.5341281669150522,2
4,0.6808488858051789,0.7197165012359619,0.5944223843383507,0.5204172876304024,2
5,0.6896163095266391,0.7091142654418945,0.5720842183027056,0.5219076005961252,2
6,0.6609209451155785,1.099501943588257,0.6408624988456921,0.4944858420268256,2
7,0.6666780286110364,0.7330497026443481,0.6316926770708283,0.5108792846497764,2
8,0.6565776860866791,0.7161687016487122,0.6563117554714195,0.5394932935916542,2
9,0.6524789306597832,0.7170772910118103,0.6505586850124666,0.5165424739195231,2
10,0.6100989924027369,0.7309792995452881,0.7212854372518238,0.49239940387481373,2
11,0.556571799211013,0.9249996185302735,0.7804321728691476,0.5049180327868853,2
12,0.5035408343642186,1.0287936329841614,0.8315079878105088,0.46110283159463483,2
13,0.37071823940063137,1.5323458790779114,0.9144057623049219,0.46825633383010434,2
