epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7613689933831875,0.7177247405052185,0.48168805983932034,0.5365126676602086,4
1,0.7005666410311674,0.7297281622886658,0.5299843014128729,0.5514157973174367,4
2,0.6856308273780041,0.7034149527549743,0.5871640964077939,0.5713859910581222,4
3,0.691287657389274,0.6982153058052063,0.5567642441592022,0.568107302533532,4
4,0.6766118888671582,0.7226863980293274,0.6003047372795272,0.5239940387481371,4
5,0.6812341266717666,0.7024819135665894,0.5954012374180442,0.5368107302533532,4
6,0.6600687851508459,0.7644879698753357,0.6438636993258842,0.48971684053651265,4
7,0.674750471344361,0.7406906127929688,0.6201495983008588,0.5388971684053652,4
