epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7671057111941851,0.7731543183326721,0.5371892393320965,0.526639344262295,1
1,0.6940974490000651,0.6913392782211304,0.548051948051948,0.5512295081967212,1
2,0.6971460596109048,0.7028677701950073,0.5291280148423005,0.5231264637002342,1
3,0.6939231963493885,0.6894148230552674,0.5545825602968459,0.5749414519906324,1
4,0.6847496475928869,0.6876543402671814,0.5751484230055659,0.5802107728337236,1
5,0.6771749200729223,0.7282495498657227,0.5968923933209648,0.5313231850117096,1
6,0.6902469381307944,0.7174272298812866,0.5670871985157699,0.5383489461358314,1
7,0.6776452836317893,0.7135894179344178,0.6093877551020409,0.5459601873536299,1
8,0.6672673435547413,0.6862785696983338,0.6288961038961038,0.6378805620608899,1
9,0.6563333158309643,0.6973383069038391,0.650556586270872,0.6115339578454332,1
10,0.6266686736773222,0.7586153507232666,0.7064935064935065,0.5755269320843092,1
11,0.5866348176048353,0.7455797076225281,0.758265306122449,0.5424473067915692,1
12,0.5348126464165174,0.8802168488502502,0.8068274582560298,0.5120023419203747,1
13,0.46184180982601947,0.8853938698768615,0.8620500927643786,0.5289812646370023,1
