epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.779788307272471,0.8198972105979919,0.5232708468002586,0.4929955290611029,3
1,0.7127263630047823,0.6886723399162292,0.5053652230122818,0.5597615499254843,3
2,0.7017715496894641,0.6998627066612244,0.535645027241666,0.5776453055141579,3
3,0.7033221973822668,0.7260392665863037,0.5047188106011635,0.5618479880774964,3
4,0.6831795489176725,0.696061646938324,0.585243328100471,0.5394932935916543,3
5,0.6861773637624887,0.7372214674949646,0.5837658140179149,0.5391952309985097,3
6,0.684633310024555,0.7058885335922241,0.5866469664788992,0.5436661698956782,3
7,0.6835660957373105,0.6888906478881835,0.590183765814018,0.5532041728763041,3
