epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7570336044598849,0.7663166284561157,0.506713151843335,0.5181818181818182,0
1,0.6984758266271689,0.700924551486969,0.5394629478525332,0.5759530791788856,0
2,0.6934679750448618,0.7229192614555359,0.5584619093539055,0.5662756598240469,0
3,0.687749540194487,0.8128776907920837,0.5774515985461018,0.5656891495601174,0
4,0.6867207579123669,0.7065068125724793,0.583107707143387,0.5753665689149561,0
5,0.6837337995186831,0.7178163051605224,0.5861212076255471,0.5865102639296187,0
6,0.6934266663514651,0.6808262467384338,0.5559676581855946,0.5950146627565982,0
7,0.6718869667786819,0.6805254697799683,0.6193809806394184,0.6170087976539589,0
8,0.6713144481182098,0.6808513045310974,0.6113697055114606,0.5956011730205278,0
9,0.6618459133001474,0.6731209754943848,0.6481436837029895,0.6117302052785925,0
10,0.6731020112832388,0.7092248201370239,0.6372487204213337,0.5240469208211144,0
11,0.6391044541811332,0.7585105776786805,0.6756546250278168,0.5612903225806453,0
12,0.6040397343727258,0.739900553226471,0.7289240412432312,0.5193548387096774,0
