epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7544496605793635,0.711379611492157,0.5255425247021885,0.5493293591654248,2
1,0.7166797342972878,0.7010917425155639,0.48184504571059195,0.6181818181818182,2
2,0.7020211804371613,0.7269954800605773,0.540908671160772,0.5555886736214606,2
3,0.6904828387957352,0.6758059978485107,0.5569674023455536,0.6068554396423249,2
4,0.6993524722563915,0.6954554915428162,0.5302428663773202,0.5886736214605067,2
5,0.6867295977396842,0.6723854064941406,0.5774402068519716,0.6152011922503726,2
6,0.6916875594701523,0.6829899072647094,0.5631267891772094,0.6092399403874813,2
